Dates/Times,Probability,Random Number,Occupancy,Comfort Range
2018-01-01 00:00:00,0.875,0.27407849465796774,1,0.619332165310242
2018-01-01 01:00:00,0.817,0.21097781301392737,1,0.9110424030189028
2018-01-01 02:00:00,0.867,0.14433314254592622,1,0.65933064441979
2018-01-01 03:00:00,0.783,0.40709290055177816,1,1.0842956386182467
2018-01-01 04:00:00,0.8,0.5625255541069822,1,0.9974275450456435
2018-01-01 05:00:00,0.708,0.7714353041570446,0,1.474577756348206
2018-01-01 06:00:00,0.767,0.38687665450191044,1,1.1665381832912078
2018-01-01 07:00:00,0.683,0.8239813341050748,0,1.6077637110407668
2018-01-01 08:00:00,0.658,0.3123139946001825,1,1.742815979730445
2018-01-01 09:00:00,0.5,0.30463171470622197,1,2.6554661465219738
2018-01-01 10:00:00,0.517,0.41353209914120126,1,2.5510843924050053
2018-01-01 11:00:00,0.358,0.6099053239439948,0,3.6188224282730284
2018-01-01 12:00:00,0.225,0.7092462960275672,0,4.776918093737292
2018-01-01 13:00:00,0.167,0.09133496843449984,1,5.4405711710871145
2018-01-01 14:00:00,0.192,0.8371483472098603,0,5.136546361645745
2018-01-01 15:00:00,0.25,0.524889320766151,0,4.5289255105403425
2018-01-01 16:00:00,0.542,0.9703725892245759,0,2.4007487365798528
2018-01-01 17:00:00,0.642,0.8031311817701395,0,1.830328179925274
2018-01-01 18:00:00,0.608,0.4653668534760548,1,2.019407026590185
2018-01-01 19:00:00,0.692,0.6883891333790596,1,1.5596125260155533
2018-01-01 20:00:00,0.85,0.40045811650715313,1,0.7445592442359835
2018-01-01 21:00:00,0.858,0.06736581430321131,1,0.704410639488155
2018-01-01 22:00:00,0.883,0.6277180411867361,1,0.5793975121792896
2018-01-01 23:00:00,0.85,0.02693748600705803,1,0.7445592442359835
2018-01-02 00:00:00,0.875,0.6589071099095766,1,0.619332165310242
2018-01-02 01:00:00,0.817,0.10274512071153397,1,0.9110424030189028
2018-01-02 02:00:00,0.867,0.6609945871026627,1,0.65933064441979
2018-01-02 03:00:00,0.783,0.9305825377157939,0,1.0842956386182467
2018-01-02 04:00:00,0.8,0.8231371074888925,0,0.9974275450456435
2018-01-02 05:00:00,0.708,0.1669567768637139,1,1.474577756348206
2018-01-02 06:00:00,0.767,0.553539303214146,1,1.1665381832912078
2018-01-02 07:00:00,0.683,0.38381970019284706,1,1.6077637110407668
2018-01-02 08:00:00,0.658,0.39881055510042573,1,1.742815979730445
2018-01-02 09:00:00,0.5,0.508654122934565,0,2.6554661465219738
2018-01-02 10:00:00,0.517,0.9106001961869647,0,2.5510843924050053
2018-01-02 11:00:00,0.358,0.8378567559919433,0,3.6188224282730284
2018-01-02 12:00:00,0.225,0.5735024521487937,0,4.776918093737292
2018-01-02 13:00:00,0.167,0.49590583314889536,0,5.4405711710871145
2018-01-02 14:00:00,0.192,0.40285792552793154,0,5.136546361645745
2018-01-02 15:00:00,0.25,0.8545221636923819,0,4.5289255105403425
2018-01-02 16:00:00,0.542,0.9534825737246483,0,2.4007487365798528
2018-01-02 17:00:00,0.642,0.2819485068745742,1,1.830328179925274
2018-01-02 18:00:00,0.608,0.5776163121346845,1,2.019407026590185
2018-01-02 19:00:00,0.692,0.6968896330308196,0,1.5596125260155533
2018-01-02 20:00:00,0.85,0.5707633823539454,1,0.7445592442359835
2018-01-02 21:00:00,0.858,0.8070525426267535,1,0.704410639488155
2018-01-02 22:00:00,0.883,0.02635718938178666,1,0.5793975121792896
2018-01-02 23:00:00,0.85,0.9168216568301331,0,0.7445592442359835
2018-01-03 00:00:00,0.875,0.9883328726138981,0,0.619332165310242
2018-01-03 01:00:00,0.817,0.21164932310730844,1,0.9110424030189028
2018-01-03 02:00:00,0.867,0.401752369788804,1,0.65933064441979
2018-01-03 03:00:00,0.783,0.6718666958257477,1,1.0842956386182467
2018-01-03 04:00:00,0.8,0.0596314314909393,1,0.9974275450456435
2018-01-03 05:00:00,0.708,0.07645890749027351,1,1.474577756348206
2018-01-03 06:00:00,0.767,0.5173302655693601,1,1.1665381832912078
2018-01-03 07:00:00,0.683,0.9492768274904897,0,1.6077637110407668
2018-01-03 08:00:00,0.658,0.8483615068800651,0,1.742815979730445
2018-01-03 09:00:00,0.5,0.16075308152913337,1,2.6554661465219738
2018-01-03 10:00:00,0.517,0.5736747333410611,0,2.5510843924050053
2018-01-03 11:00:00,0.358,0.5042460121883982,0,3.6188224282730284
2018-01-03 12:00:00,0.225,0.07363028689458428,1,4.776918093737292
2018-01-03 13:00:00,0.167,0.9693964132572938,0,5.4405711710871145
2018-01-03 14:00:00,0.192,0.8263352821558234,0,5.136546361645745
2018-01-03 15:00:00,0.25,0.4418109654555361,0,4.5289255105403425
2018-01-03 16:00:00,0.542,0.531620381701443,1,2.4007487365798528
2018-01-03 17:00:00,0.642,0.6645684992034305,0,1.830328179925274
2018-01-03 18:00:00,0.608,0.4220466784912652,1,2.019407026590185
2018-01-03 19:00:00,0.692,0.8382802561737233,0,1.5596125260155533
2018-01-03 20:00:00,0.85,0.04711169888975475,1,0.7445592442359835
2018-01-03 21:00:00,0.858,0.6921518216412399,1,0.704410639488155
2018-01-03 22:00:00,0.883,0.9367534334137979,0,0.5793975121792896
2018-01-03 23:00:00,0.85,0.4324960872459196,1,0.7445592442359835
